"campus, -i n (m)",field-3,
"canalis, -is n (m)",canal-2,
"cancelli, -orum n (m)",grate-1,
"candela, -ae n (f)",candle-1,
"candidus, -a, -um adj",white-3,
"canis, -is n (m/f)",dog-5,
"cano, canere, cecini, cantum vb tr and intr",to sing-3,
"canon, -onis n (m)",canon-2,
"canonicus, -a, -um adj",canon-2,
"canonicus, -i n (m)",canon-1,
"canticum, -i n (n)",song-6,
"cantilena, -ae n (f)",little song-1,
"canto, cantare, cantavi, cantatum vb tr",to sing-5,
"cantus, -us n (m)",song-2,
"capella, -ae n (f)",chapel-1,
"capellanus, -i n (m)",chaplain-3,
"caper, capri n (m)",goat-1,
"capesso, capessere, capessi(v)i, capessitum vb tr",to seize-1,
"capillus, -i n (m)",hair-1,
"capio, capere, cepi, captum vb tr",to capture-10:   to grasp-3: to take-4,
"capitale, -is n (n)",capital-1,
"capitalis, -e adj",capital-2,
"capitulum, -i n (n)",chapter-2,
"captio, -onis n (f)",capture-1,
"captivitas, -atis n (f)",captivity-1,
"captivus, -a, -um adj",captive-3,
"captivus, -i n (m)",captive-4,
"captura, -ae n (f)",catching-1,
9,,
"captus, -us n (m)",capture-1,
"caput, -itis n (n)",head-19,
"carbo, -onis n (m)",charcoal-1,
"carcer, -eris n (m)",jail-3,
"cardinalis, -is n (m)",cardinal-2,
"cardo, -inis n (m)",axis-1,
"careo, carere, carui, caritum vb intr",to lack (with abl)-2,
"carior, -ius adj compar",more dear-1,
"c(h)arissimus, -a, -um adj superl",most beloved-4,
"caritas, -atis (karitas) n (f)",love-7,
"carmen, -inis n (n)",song-4,
"carnalis, -e adj",carnal-1,
"carnifex, -icis n (m)",butcher-1,
"caro, carnis n (f)",flesh-15,
"carus, -a, -um adj",dear (with dat)-2,
"castellum, -i n (n)",castle-3,
"castra, -orum n (n)",camp-1,
"castrensis, -e adj",pertaining to the camp-1,
"castrum, -i n (n)",castle-3: city-2,
"casus, -us n (m)",case-5: chance-3: fortune-4,
"catechumenus, -i n (m)",catechumen-2,
"catena, -ae n (f)",chain-2,
"cathedralis, -e (chadhedralis) adj",cathedral-1,
"catholicus, -a, -um adj",Catholic-6,
"cauda, -ae n (f)",tail-1,
"causa, -ae n (f)","cause, reason-14",
causa (in the abl sing) prep (with gen),for the sake of-3,
caute adv,cautiously-1,
"cautio, -onis n (f)",safeguarding-1,
"cautissimus, -a, -um adj superl",most careful-1,
"caveo, cavere, cavi, cautum vb tr and intr",to beware-3,
"caverna, -ae n (f)",cavern-1,
"cavernosus, -a, -um adj",cavernous-1,
-ce enclitic emphatic particle,very-2,
"cedo, cedere, cessi, cessum vb tr and intr",to yield-3,
"cedrus, -i n (f)",cedar-1,
"celeberrimus, -a, -um adj superl",most famous-1,
"celebro, celebrare, celebravi, celebratum vb tr",to celebrate (mass)-7: to honour-1,
"celo, celare, celavi, celatum vb tr",to hide-1,
"celsitudo, -inis n (f)",loftiness-1,
"celsus, -a, -um adj",high-3,
"cena, -ae n (f)",dinner-1: Supper-1,
"censeo, censere, censui, censum vb tr",to decide-1: to decree-1: to think-2,
"census, -us n (m)",estate-1,
"centeni, -ae, -a adj",one-hundred each-1,
"centrum, -i n (n)",centre-2,
"centenarius, -a, -um adj",containing one hundred-3,
centum (.c.) num indec,hundred-7,
"cera, -ae n (f)",wax-1,
"cereus, -i n (m)",candle-1,
"cerno, cernere, crevi, cretum vb tr",to perceive-5,
"cernuus, -a, -um adj",with head bent forward-1,
"certamen, -inis n (n)",battle-2,
10,,
certatim adv,eagerly-1,
certe adv,certainly-5: at least-3,
"certissimus, -a, -um adj superl",most certain-1,
"certitudo, -inis n (f)",truth-1,
"certo, certare, certavi, certatum vb tr",to struggle-3,
"certus, -a, -um adj","certain, sure-14",
"cervix, -icis n (f)",neck-1,
"cervus, -i n (m)",deer-2,
"cesso, cessare, cessavi, cessatum vb tr and intr",to cease-4,
"c(a)eterus, -a, -um adj",the rest (of)-31,
"cetus, -i n (m)",whale-1,
"c(h)arta, -ae n (f)",letter-2,
"chorus, -i n (m)",chorus-2,
"chronicon, -i n (n)",chronicle-1,
"cibaria, -orum n (n)",foodstuff-1,
"cibus, -i n (m)",food-9,
"cilicium, -ii n (n)",hairshirt-1,
"cimit(h)erium, -ii n (n)",cemetery-6,
"cinis, -eris n (m)",ash-9,
circa prep (with acc),around-2: concerning-4,
"circuitus, -us n (m)",circuit-2,
"circulus, -i n (m)",circle-2,
"circumdo, circumdare, circumdedi, circumdatum vb tr",to surround-3,
"circumduco, -ere, circumduxi, circumductum vb tr",to lead around-1,
"circu(m)eo, circuire, circu(m)i(v)i, circuitum vb tr and intr",to go around-2,
"circumferentia, -ae n (f)",circumference-3,
circumquaque adv,on every side-1,
"circumsto, -are, circumsteti, circumstatum vb tr and intr",to stand around-1,
"circumvenio, -ire, circumveni, circumventum vb tr",to surround-1,
cito adv,quickly-6,
"citus, -a, -um adj",quick-1,
"civilis, -e adj",civil-2,
"civilitas, -atis n (f)",civility-1,
"civis, -is n (m)",citizen-6,
"civitas, -atis n (f)",city-32,
clam prep (with abl),secret from-1,
"clamo, clamare, clamavi, clamatum vb tr and intr",to shout-8,
clare adv,clearly-2,
"clarissimus, -a, -um adj",most famous-1,
"claritas, -atis n (f)",brightness-1,
"clarus, -a, -um adj",bright-1: famous-4,
"classis, -is n (f)",fleet-2,
"claudo, claudere, clausi, clausum vb tr",to end-1: to shut-2,
"claustrum, -i n (n)",cloister-2,
"claviger, -eris n (m)",keymaster-1,
"clericalis, -e adj",clerical-1,
"clericus, -i n (m)",cleric-5,
"clementia, -ae (clemencia) n (f)",clemency-5,
"clementissimus, -a, -um adj superl",most clement-1,
"clerus, -i n (m)",clergy-1,
"clima, -atis n (n)",clime-2,
"coaetaneus, -a, -um adj",of the same age-1,
"coarto, coartare, coartavi, coartatum vb tr",to narrow-1,
11,,
"codex, -icis n (m)",book-5,
"c(o)enobium, -ii n (n)",monastery-2,
"coeo, coire, coi(v)i, coitum vb tr and intr",to have sex-1,
"c(o)epi, c(o)episse, c(o)eptum vb defective",to begin-21,
"cogitatio, -onis n (f)",thought-2,
"cogito, cogitare, cogitavi, cogitatum vb tr",to think-10,
"cognatus, -a, -um adj",related-1,
"cognomen, -inis n (n)",surname-1,
"cognomino, -are, cognominavi, cognominatum vb tr",to name-1,
"cognosco, cognoscere, cognovi, cognitum vb tr",to learn (pres)-3: to recognize (pres)-9: to know (perf)-5,
"cogo, cogere, coegi, coactum vb tr",to force-6,
"cohaereo, cohaerere, cohaesi, cohaesum vb intr",to cling together-1,
"cohibeo, cohibere, cohibui, cohibitum vb tr",to contain-1: to restrain-1,
"cohors, -ortis n (f)",armed force-1,
